Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
17-12-2021,Comoros,Main territory,,4606,4455,0,151
17-12-2021,Singapore,Main territory,,275384,274575,0,809
17-12-2021,Myanmar,Main territory,,527931,508723,0,19208
17-12-2021,Afghanistan,Main territory,,157734,150402,0,7332
17-12-2021,Brunei,Main territory,,15385,15287,0,98
17-12-2021,Barbados,Main territory,,27126,26870,0,256
17-12-2021,US,Wyoming,Weston,1236,1222,0,14
17-12-2021,US,Wyoming,Washakie,1858,1821,0,37
17-12-2021,US,Wyoming,Unassigned,0,0,0,0
17-12-2021,US,Wyoming,Uinta,4113,4082,0,31
17-12-2021,US,Wyoming,Teton,5478,5464,0,14
17-12-2021,US,Wyoming,Sweetwater,8231,8125,0,106
17-12-2021,US,Wyoming,Sublette,1518,1495,0,23
17-12-2021,US,Wyoming,Sheridan,5920,5860,0,60
17-12-2021,US,Wyoming,Platte,1565,1532,0,33
17-12-2021,US,Wyoming,Park,5616,5505,0,111
17-12-2021,US,Wyoming,Niobrara,499,491,0,8
17-12-2021,US,Wyoming,Natrona,16599,16365,0,234
17-12-2021,US,Wyoming,Lincoln,3013,2986,0,27
17-12-2021,US,Wyoming,Laramie,18191,17964,0,227
17-12-2021,US,Wyoming,Johnson,1383,1366,0,17
17-12-2021,US,Wyoming,Hot Springs,896,885,0,11
17-12-2021,US,Wyoming,Goshen,2682,2632,0,50
17-12-2021,US,Wyoming,Fremont,9615,9457,0,158
17-12-2021,US,Wyoming,Crook,1015,993,0,22
17-12-2021,US,Wyoming,Converse,2358,2312,0,46
17-12-2021,US,Wyoming,Carbon,3267,3221,0,46
17-12-2021,US,Wyoming,Campbell,9455,9327,0,128
17-12-2021,US,Wyoming,Big Horn,2167,2109,0,58
17-12-2021,US,Wyoming,Albany,6909,6868,0,41
17-12-2021,US,Wisconsin,Wood,14100,13938,0,162
17-12-2021,US,Wisconsin,Winnebago,33566,33265,0,301
17-12-2021,US,Wisconsin,Waushara,4382,4315,0,67
17-12-2021,US,Wisconsin,Waupaca,9953,9743,0,210
17-12-2021,US,Wisconsin,Waukesha,74369,73555,0,814
17-12-2021,US,Wisconsin,Washington,27143,26894,0,249
17-12-2021,US,Wisconsin,Washburn,2997,2963,0,34
17-12-2021,US,Wisconsin,Walworth,18662,18453,0,209
