Country,Province,County,Continent,Population,StatsName
Peru,Junin,,South America,1361500,"Junin, Peru"
Poland,,,Europe,37846605,Poland
Fiji,Main territory,,Oceania,896444,Fiji
Peru,San Martin,,South America,899600,"San Martin, Peru"
Morocco,,,Africa,36910558,Morocco
Peru,,,South America,32971846,Peru
Peru,Tacna,,South America,371000,"Tacna, Peru"
Monaco,,,Europe,39244,Monaco
Iraq,Main territory,,Asia,40222503,Iraq
Peru,Other,,South America,0,"Unknown, Peru"
Senegal,Main territory,,Africa,16743930,Senegal
Peru,Pasco,,South America,271900,"Pasco, Peru"
Peru,Moquegua,,South America,192700,"Moquegua, Peru"
Uruguay,Main territory,,South America,3473727,Uruguay
Germany,Other,,Europe,0,"Unknown, Germany"
Germany,Thuringen,,Europe,2143145,"Thuringen, Germany"
Germany,Schleswig-Holstein,,Europe,2896712,"Schleswig-Holstein, Germany"
Germany,Sachsen-Anhalt,,Europe,2208321,"Sachsen-Anhalt, Germany"
Germany,Sachsen,,Europe,4077937,"Sachsen, Germany"
Germany,Saarland,,Europe,990509,"Saarland, Germany"
Peru,Puno,,South America,1238000,"Puno, Peru"
Germany,Mecklenburg-Vorpommern,,Europe,1609675,"Mecklenburg-Vorpommern, Germany"
Peru,Lima,,South America,10628500,"Lima, Peru"
Peru,La Libertad,,South America,2016800,"La Libertad, Peru"
Germany,Hessen,,Europe,6265809,"Hessen, Germany"
Germany,Bremen,,Europe,682986,"Bremen, Germany"
Germany,Brandenburg,,Europe,2511917,"Brandenburg, Germany"
Germany,Berlin,,Europe,3644826,"Berlin, Germany"
Germany,Baden-Wurttemberg,,Europe,11069533,"Baden-Wurttemberg, Germany"
Peru,Huanuco,,South America,760300,"Huanuco, Peru"
Germany,Bavaria,,Europe,13076721,"Bayern, Germany"
Zimbabwe,,,Africa,14862927,Zimbabwe
Thailand,,,Asia,69799978,Thailand
Haiti,,,North America,11402533,Haiti
Zimbabwe,Main territory,,Africa,14862927,Zimbabwe
Netherlands,Zuid-Holland,,Europe,3708696,"Zuid-Holland, Netherlands"
Netherlands,Zeeland,,Europe,383488,"Zeeland, Netherlands"
Netherlands,Utrecht,,Europe,1354834,"Utrecht, Netherlands"
Netherlands,Sint Maarten,,North America,42882,"Sint Maarten, Netherlands"
Peru,Cajamarca,,South America,1453700,"Cajamarca, Peru"
Peru,Ayacucho,,South America,668200,"Ayacucho, Peru"
Netherlands,Other,,Europe,0,"Unknown, Netherlands"
Netherlands,Noord-Brabant,,Europe,2562955,"Noord-Brabant, Netherlands"
Netherlands,Limburg,,Europe,1117201,"Limburg, Netherlands"
Netherlands,Groningen,,Europe,585866,"Groningen, Netherlands"
Netherlands,Friesland,,Europe,649957,"Friesland, Netherlands"
Peru,Main territory,,South America,32971846,Peru
Netherlands,Gelderland,,Europe,2085952,"Gelderland, Netherlands"
Saint Vincent and the Grenadines,,,North America,110947,Saint Vincent and the Grenadines
Netherlands,"Bonaire, Sint Eustatius and Saba",,North America,26221,"Bonaire, Sint Eustatius and Saba, Netherlands"
Seychelles,,,Africa,98340,Seychelles
Seychelles,Main territory,,Africa,98340,Seychelles
Sri Lanka,,,Asia,21413250,Sri Lanka
Sudan,Main territory,,Africa,43849269,Sudan
Azerbaijan,,,Europe,10139175,Azerbaijan
Azerbaijan,Main territory,,Europe,10139175,Azerbaijan
Bolivia,,,South America,11673029,Bolivia
Romania,,,Europe,19237682,Romania
Peru,Loreto,,South America,1027600,"Loreto, Peru"
Bolivia,Main territory,,South America,11673029,Bolivia
Peru,Tumbes,,South America,251500,"Tumbes, Peru"
Senegal,,,Africa,16743930,Senegal
Madagascar,,,Africa,27691019,Madagascar
Austria,Main territory,,Europe,9006400,Austria
Germany,Nordrhein-Westfalen,,Europe,17932651,"Nordrhein-Westfalen, Germany"
Peru,Piura,,South America,2048000,"Piura, Peru"
Germany,Rheinland-Pfalz,,Europe,4084844,"Rheinland-Pfalz, Germany"
Germany,Hamburg,,Europe,1841179,"Hamburg, Germany"
Germany,Niedersachsen,,Europe,7982448,"Niedersachsen, Germany"
Argentina,,,South America,45195777,Argentina
Iraq,,,Asia,40222503,Iraq
Poland,Main territory,,Europe,37846605,Poland
Argentina,Main territory,,South America,45195777,Argentina
Germany,Main territory,,Europe,83783945,Germany
Peru,Cusco,,South America,1357100,"Cusco, Peru"
Mozambique,,,Africa,31255435,Mozambique
Cuba,Main territory,,North America,11326616,Cuba
Peru,Ica,,South America,975200,"Ica, Peru"
Thailand,Main territory,,Asia,69799978,Thailand
Monaco,Main territory,,Europe,39244,Monaco
Peru,Ucayali,,South America,589100,"Ucayali, Peru"
Netherlands,,,Europe,17134873,Netherlands
Denmark,Greenland,,North America,56772,"Greenland, Denmark"
Denmark,Faroe Islands,,Europe,48865,"Faroe Islands, Denmark"
Kosovo,,,Europe,1810366,Kosovo
Mongolia,,,Asia,3278292,Mongolia
Mongolia,Main territory,,Asia,3278292,Mongolia
Peru,Apurimac,,South America,430700,"Apurimac, Peru"
Peru,Ancash,,South America,1180600,"Ancash, Peru"
Peru,Amazonas,,South America,426800,"Amazonas, Peru"
Netherlands,Flevoland,,Europe,423021,"Flevoland, Netherlands"
South Sudan,Main territory,,Africa,11193729,South Sudan
Grenada,,,North America,112519,Grenada
Grenada,Main territory,,North America,112519,Grenada
Indonesia,Main territory,,Asia,273523621,Indonesia
Papua New Guinea,,,Oceania,8947027,Papua New Guinea
Indonesia,,,Asia,273523621,Indonesia
Ireland,,,Europe,4937796,Ireland
Papua New Guinea,Main territory,,Oceania,8947027,Papua New Guinea
San Marino,,,Europe,33938,San Marino
Germany,,,Europe,83783945,Germany
Peru,Madre de Dios,,South America,173800,"Madre de Dios, Peru"
Uganda,,,Africa,45741000,Uganda
Romania,Main territory,,Europe,19237682,Romania
Haiti,Main territory,,North America,11402533,Haiti
Madagascar,Main territory,,Africa,27691019,Madagascar
Greece,,,Europe,10423056,Greece
Luxembourg,,,Europe,625976,Luxembourg
Luxembourg,Main territory,,Europe,625976,Luxembourg
Spain,Navarra,,Europe,649946,"Navarra, Spain"
Spain,Murcia,,Europe,1487663,"Murcia, Spain"
Spain,Melilla,,Europe,84689,"Melilla, Spain"
Spain,La Rioja,,Europe,313571,"La Rioja, Spain"
Spain,Galicia,,Europe,2700441,"Galicia, Spain"
Spain,Madrid,,Europe,6641649,"Madrid, Spain"
Dominican Republic,Main territory,,North America,10847904,Dominican Republic
Spain,Ceuta,,Europe,84829,"Ceuta, Spain"
Spain,Castilla y Leon,,Europe,2407733,"Castilla y Leon, Spain"
Barbados,Main territory,,North America,287371,Barbados
Denmark,,,Europe,5792203,Denmark
Spain,Catalonia,,Europe,7566431,"Catalonia, Spain"
Spain,Canarias,,Europe,2206901,"Canarias, Spain"
Spain,C. Valenciana,,Europe,4974969,"C. Valenciana, Spain"
Peru,Callao,,South America,1129900,"Callao, Peru"
Spain,Andalusia,,Europe,8427405,"Andalusia, Spain"
Netherlands,Noord-Holland,,Europe,2879527,"Noord-Holland, Netherlands"
Mali,,,Africa,20250834,Mali
Netherlands,Overijssel,,Europe,1162406,"Overijssel, Netherlands"
Mali,Main territory,,Africa,20250834,Mali
Paraguay,Main territory,,South America,7132530,Paraguay
Latvia,,,Europe,1886202,Latvia
South Sudan,,,Africa,11193729,South Sudan
Laos,,,Asia,7275556,Laos
Netherlands,Drenthe,,Europe,493682,"Drenthe, Netherlands"
Saint Vincent and the Grenadines,Main territory,,North America,110947,Saint Vincent and the Grenadines
Netherlands,Aruba,,North America,106766,"Aruba, Netherlands"
Liberia,,,Africa,5057677,Liberia
Liberia,Main territory,,Africa,5057677,Liberia
Sri Lanka,Main territory,,Asia,21413250,Sri Lanka
Uruguay,,,South America,3473727,Uruguay
Myanmar,,,Asia,54409794,Burma
Ireland,Main territory,,Europe,4937796,Ireland
Finland,,,Europe,5540718,Finland
Myanmar,Main territory,,Asia,54409794,Burma
Nepal,,,Asia,29136808,Nepal
Switzerland,,,Europe,8654618,Switzerland
Switzerland,Main territory,,Europe,8654618,Switzerland
Uganda,Main territory,,Africa,45741000,Uganda
Spain,,,Europe,46754783,Spain
Andorra,,,Europe,77265,Andorra
Andorra,Main territory,,Europe,77265,Andorra
Bosnia and Herzegovina,,,Europe,3280815,Bosnia and Herzegovina
Spain,Other,,Europe,0,"Unknown, Spain"
Bosnia and Herzegovina,Main territory,,Europe,3280815,Bosnia and Herzegovina
Malawi,,,Africa,19129955,Malawi
Botswana,,,Africa,2351625,Botswana
